province_code,province_name,forecast_time,rain_score,rain_risk_level,storm_score,storm_risk_level,flood_score,flood_risk_level,combined_score,combined_risk_level
1,Thành phố Hà Nội,2026-07-14 09:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 10:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 11:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 12:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 13:00:00,0,Low,2,High,0,Low,2,High
1,Thành phố Hà Nội,2026-07-14 14:00:00,0,Low,2,High,0,Low,2,High
1,Thành phố Hà Nội,2026-07-14 15:00:00,0,Low,2,High,0,Low,2,High
1,Thành phố Hà Nội,2026-07-14 16:00:00,0,Low,2,High,0,Low,2,High
1,Thành phố Hà Nội,2026-07-14 17:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 18:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 19:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 20:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 21:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 22:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-14 23:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 00:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 01:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 02:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 03:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 04:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 05:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 06:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 07:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 08:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 09:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 10:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 11:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 12:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 13:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 14:00:00,0,Low,2,High,0,Low,2,High
